Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.451948564,4.861716367,3.812745366,5.124159994,4.032599988,4.446706331,4.924189898,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565324,0.327156893,3.099999999,1.848999439,2.700000597
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.71670516,1.099603588,1.706894107,1.037955285,3.571206808,2.321737964,2.552340678,3.676924839,0.446904948,-1.906440894,2.710311413,1.931154979,0.215803673,0.305494479,1.765540382,1.474164386,1.19350264,1.474467657,1.877968572,2.442890066,-4.792983897,6.202554016,4.233431834,1.251700632
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671561952,6.697253622,6.865686628,3.8487924,7.155451646,6.253244914,6.352821609
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.888473889,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164688,4.111379018,5.799991741,2.961950859,8.446281577,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.604569068,5.889204971,2.010772624,6.942524926,1.497239741,2.960181474
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.293294719,5.077287775,3.83312394,4.7395674,5.23953291,6.535944939,6.671904986,7.058599354,6.013789757,5.045124799,5.571788185,6.464379125,6.521458779,6.013605658,6.061059359,6.552639878,7.113478213,6.590249998,7.31941263,7.881915151,3.448017551,6.938679124,7.099828776,5.77511237
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.58722551,3.823704374,5.87193119,5.237153635,6.510425174,7.056349212,6.802588987,6.654387649,6.129558799,-3.347141367,1.555359635,2.09017527,0.748814897,-0.542751603,0.949448985,3.397553259,3.026628931,2.745926447,2.549464347,3.788850365,-3.215737434,7.780614814,4.038777583,1.886814839
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.300070056,2.490948108,3.348550668,6.296441979,6.980960594,6.768997871,6.467000122,8.293960448,6.245010775,2.539885936,4.334299173,1.928157912,3.80302899,5.292622249,4.308856927,2.507872053,3.814993274,4.953835341,2.05258865,2.052877744,-5.911362952,4.350040917,5.981302822,2.980792767
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.148419308,2.626009827,2.704956247,-1.264916676,0.882373745,3.396084205,2.516592217,1.446099912,-2.32364807,-4.175428056,1.538662487,0.613170736,2.997903207,-2.863309257,1.847260843,0.996758611,-0.961908777,2.799518639,2.62988986,-1.357265209,-21.42346307,15.40314894,10.7820132,2.639055981
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.41431595,2.423313172,5.027444207,3.867138795,6.325266169,3.89717799,5.414003571,5.857126342,5.443831035,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.38996234,4.226811011,2.211124472
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.800003361,4.72530605,5.045267505,7.043192512,11.44974306,9.400001589,9.999994721,8.600006599,10.19999947,0.199995249,7.750017066,5.549974723,1.70785257,0.998719279,1.651124685,-3.829570558,-2.526446436,2.5321835,3.149197594,1.446455477,-0.672742951,2.438862124,-4.658395916,3.886242145
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.24045958,4.993967755,5.397123855,9.666655654,4.780840488,2.219538842,4.511447376,3.353248291,-1.682116446,-0.389321468,1.114035787,-0.244543781,3.737775786,4.454326007,4.030845578,2.876183795,0.054551654,-1.812853541,1.11057125,4.267636896,-13.90291006,17.74617012,9.652977724,1.149016821
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.306266735,-6.842869643,5.41909484,6.431133996,-0.094823593
